name,l,b,RA,Dec,size,type,flux,s
G41.5+0.4,41.5,+0.4,19 05 50,+07 46,10,S?,1?,?
G42.0-0.1,42.0,-0.1,19 08 10,+08 00,8,S?,0.5?,?
G42.8+0.6,42.8,+0.6,19 07 20,+09 05,24,S,3?,0.5?
G43.3-0.2,43.3,-0.2,19 11 08,+09 06,4x3,S,38,0.46
G43.9+1.6,43.9,+1.6,19 05 50,+10 30,60?,S?,9.0,0.5
G45.7-0.4,45.7,-0.4,19 16 25,+11 09,22,S,4.2?,0.4?
G46.8-0.3,46.8,-0.3,19 18 10,+12 09,15,S,17,0.54
G49.2-0.7,49.2,-0.7,19 23 50,+14 06,30,S?,160?,0.3?
G53.4+0.0,53.4,+0.0,19 29 57,+18 10,10?,S,1.5,0.6?
G53.6-2.2,53.6,-2.2,19 38 50,+17 14,33x28,S,8,0.50
G54.1+0.3,54.1,+0.3,19 30 31,+18 52,12?,C?,0.5,0.1
G54.4-0.3,54.4,-0.3,19 33 20,+18 56,40,S,28,0.5
G55.0+0.3,55.0,+0.3,19 32 00,+19 50,20x15?,S,0.5?,0.5?
G55.7+3.4,55.7,+3.4,19 21 20,+21 44,23,S,1?,0.3?
G57.2+0.8,57.2,+0.8,19 34 59,+21 57,12?,S?,1.8,0.35
G59.5+0.1,59.5,+0.1,19 42 33,+23 35,15,S,3?,?
G63.7+1.1,63.7,+1.1,19 47 52,+27 45,8,F,1.8,0.24
G64.5+0.9,64.5,+0.9,19 50 25,+28 16,8,S?,0.15?,0.5
G65.1+0.6,65.1,+0.6,19 54 40,+28 35,90x50,S,5.5,0.61
G65.3+5.7,65.3,+5.7,19 33 00,+31 10,310x240,S?,42,0.6
G65.7+1.2,65.7,+1.2,19 52 10,+29 26,22,F,5.1,varies
G66.0-0.0,66.0,-0.0,19 57 50,+29 03,31x25?,S,?,?
G67.6+0.9,67.6,+0.9,19 57 45,+30 53,50x45?,S,?,?
G67.7+1.8,67.7,+1.8,19 54 32,+31 29,15x12,S,1.0,0.61
G67.8+0.5,67.8,+0.5,20 00 00,+30 51,7x5,?,?,?
G68.6-1.2,68.6,-1.2,20 08 40,+30 37,23,?,1.1,0.2
G69.0+2.7,69.0,+2.7,19 53 20,+32 55,80?,?,120?,varies
G69.7+1.0,69.7,+1.0,20 02 40,+32 43,16x14,S,2.0,0.7
G70.0-21.5,70.0,-21.5,21 24 00,+19 23,330x240,S,?,?
