G,id_uncertain,id_new,id_alt,id_old,type_x,type_uncertain,context_x,remnant,SN_year,SN_association,age_min (yr),age_max (yr),distance_min (kpc),distance_max (kpc),size_coarse (arcmin),size_imprecise,size_radio,size_X,J2000_ra (hh:mm:ss),J2000_dec (dd:mm:ss),J2000_from,source_from_x,normalized_name,l,b,RA,Dec,size,type_y,flux,s,other name(s),name,source_from_y,context_y,pulsar-CCO,uncertain-pulsar,type_uncertain_green,SNR_id,Xray,gamma_TeV,gamma_GeV,source_flag,info,radio
G069.0+02.7,1.0,,"CTB 80, W56",G68.8+2.8,plerionic composite,,contains PSR B1951+32 = J1952+3252 + PWN G68.77+2.82,"eje,PSR,PWN",1408.0,dubious,60000.0,60000.0,1.5,4.6,80.0,,80',,19:53:20,32:55:00,Green J coord,snrcat,G069.0+02.7,69.0,2.7,19 53 20,+32 55,80?,?,120?,varies,CTB 80,G69.0+2.7,green,contains PSR B1951+32 = J1952+3252 + PWN G68.77+2.82,PSR B1951+32,,1,G069.0+02.7,|pwn||pwn||pwn|pwn|||pwn||shell & pwn||,|||||||||||||,|||||||||||||,|pwn||pwn||pwn|pwn|||pwn||shell & pwn||,gamma_GeV|pwnX|gamma_TeV|pwnX|gamma_GeV|pwnX|pwnX|gamma_GeV|gamma_TeV|pwnX|gamma_TeV|shell & pwnX|gamma_TeV|gamma_TeV,yes
G076.9+01.0,,,,,filled-centre,,contains PSR J2022+3842 + PWN,"PSR,PWN",,,,,8.0,8.0,9.0,1.0,9',"8""x5""",20:22:20,38:43:00,Green J coord,snrcat,G076.9+01.0,76.9,1.0,20 22 20,+38 43,9,C,2?,?,,G76.9+1.0,green,contains PSR J2022+3842 + PWN,PSR J2022+3842,,0,G076.9+01.0,pwn||pwn,||,||,pwn||pwn,pwnX|gamma_GeV|pwnX,yes
G078.2+02.1,,,"W66, DR4, gamma Cygni",G78.1+1.8,plerionic composite,1.0,"PSR J2021+4026 at the edge + PWN G78.23+2.09, unrelated stellar wind bubble inside?","eje,PSR?,PWN",,,8000.0,16000.0,0.98,0.98,60.0,,60',"10""",20:20:50,40:26:00,Green J coord,snrcat,G078.2+02.1,78.2,2.1,20 20 50,+40 26,60,S,320,0.51,"DR4, gamma Cygni SNR",G78.2+2.1,green,"PSR J2021+4026 at the edge + PWN G78.23+2.09, unrelated stellar wind bubble inside?",PSR J2021+4026,,0,G078.2+02.1,|||shell|||||||||shell|||||shell,||||||||shell||shell|||shell||shell & pwn||,shell|||||shell||shell||||||||||,shell|||shell||shell||shell|shell||shell||shell|shell||shell & pwn||shell,shellgamma_GeV|gamma_TeV|X|shellX|gamma_GeV|shellgamma_GeV|X|shellgamma_GeV|shellgamma_TeV|X|shellgamma_TeV|gamma_TeV|shellX|shellgamma_TeV|gamma_TeV|shell & pwngamma_TeV|gamma_TeV|shellX,yes
G093.3+06.9,,,"DA 530, 4C(T)55.38.1",G93.2+6.7,thermal & plerionic composite,1.0,contains PWN?,"eje,PWN?",,,3200.0,7000.0,4.4,,23.0,,27'x20',,20:52:25,55:21:00,Green J coord,snrcat,G093.3+06.9,93.3,6.9,20 52 25,+55 21,27x20,C?,9,0.45,"DA 530, 4C(T)55.38.1",G93.3+6.9,green,contains PWN?,,,1,G093.3+06.9,pwn||shell|shell & pwn|shell,||||,|shell|||,pwn|shell|shell|shell & pwn|shell,pwnX|shellgamma_GeV|shellX|shell & pwnX|shellX,yes
G106.3+02.7,,,Boomerang,G106.6+2.9,plerionic composite,,contains PSR J2229+6114 and PWN G106.65+2.96 = the Boomerang,"eje?,PSR,PWN",,,3900.0,,0.7,0.8,38.0,1.0,60'x24',,22:27:30,60:50:00,Green J coord,snrcat,G106.3+02.7,106.3,2.7,22 27 30,+60 50,60x24,C?,6,0.6,,G106.3+2.7,green,contains PSR J2229+6114 and PWN G106.65+2.96 = the Boomerang,PSR J2229+6114,,1,G106.3+02.7,|pwn|pwn|||||||pwn|pwn||shell & pwn||,|||||shell|shell||||||||,shell|||pwn|shell & pwn||||||||||,shell|pwn|pwn|pwn|shell & pwn|shell|shell|||pwn|pwn||shell & pwn||,shellgamma_GeV|pwnX|pwnX|pwngamma_GeV|shell & pwngamma_GeV|shellgamma_TeV|shellgamma_TeV|gamma_TeV|gamma_TeV|pwnX|pwnX|X|shell & pwnX|gamma_TeV|gamma_TeV,yes
G119.5+10.2,,,CTA 1,G119.5+10.3,plerionic composite,,contains PSR J0007+7303 + PWN G119.65+10.46,"eje,PSR,PWN",,,13000.0,13000.0,1.07,1.11,90.0,,90',,00:06:40,72:45:00,Green J coord,snrcat,G119.5+10.2,119.5,10.2,00 06 40,+72 45,90?,S,36,0.6,CTA 1,G119.5+10.2,green,contains PSR J0007+7303 + PWN G119.65+10.46,PSR J0007+7303,,0,G119.5+10.2,|shell & pwn|pwn|||||||shell & pwn|pwn||,||||||pwn|||||pwn|,shell & pwn|||||shell & pwn|||||||,shell & pwn|shell & pwn|pwn|||shell & pwn|pwn|||shell & pwn|pwn|pwn|,shell & pwngamma_GeV|shell & pwnX|pwnX|gamma_GeV|X|shell & pwngamma_GeV|pwngamma_TeV|X|X|shell & pwnX|pwnX|pwngamma_TeV|X,yes
G130.7+03.1,,,"3C58, SN1181?",,plerionic composite,1.0,PWN 3C58 and PSR J0205+6449,"eje,PSR,PWN",1181.0,probable,,7000.0,2.0,3.2,6.7,1.0,9'x5',9'x5',02:05:41,64:49:00,Green J coord,snrcat,G130.7+03.1,130.7,3.1,02 05 41,+64 49,9x5,F,33,0.07,"3C58, SN1181",G130.7+3.1,green,PWN 3C58 and PSR J0205+6449,PSR J0205+6449,,0,G130.7+03.1,pwn||pwn|pwn|pwn||pwn|pwn|||pwn|pwn|||shell & pwn,||||||||pwn|pwn|||pwn||,|||||shell & pwn|||||||||,pwn||pwn|pwn|pwn|shell & pwn|pwn|pwn|pwn|pwn|pwn|pwn|pwn||shell & pwn,pwnX|X|pwnX|pwnX|pwnX|shell & pwngamma_GeV|pwnX|pwnX|pwngamma_TeV|pwngamma_TeV|pwnX|pwnX|pwngamma_TeV|gamma_TeV|shell & pwnX,yes
G180.0-01.7,,,"S147, Sh2-240, Spaghetti Nebula",,plerionic composite,,contains PSR J0538+2817 and PWN G179.72-1.69,"eje,PSR,PWN",,,26000.0,34000.0,1.3,1.5,180.0,,180',,05:39:00,27:50:00,Green J coord,snrcat,G180.0-01.7,180.0,-1.7,05 39 00,+27 50,180,S,65,varies,S147,G180.0-1.7,green,contains PSR J0538+2817 and PWN G179.72-1.69,PSR J0538+2817,,0,G180.0-01.7,|pwn||shell|||,||||||,||||shell||,|pwn||shell|shell||,gamma_GeV|pwnX|gamma_GeV|shellX|shellgamma_GeV|gamma_TeV|X,yes
G189.1+03.0,,,"IC443, 3C157, Sh2-248, Jellyfish Nebula",,thermal & plerionic composite,,"next to HII region S249, overlaps SNR G189.6+03.3, contains runaway NS CXOU J061705.3+222127 + PWN G189.23+2.90","eje,NS,PWN",837.0,dubious,3000.0,30000.0,0.7,2.0,45.0,,45',,06:17:00,22:34:00,Green J coord,snrcat,G189.1+03.0,189.1,3.0,06 17 00,+22 34,45,C,165,0.36,"IC443, 3C157",G189.1+3.0,green,"next to HII region S249, overlaps SNR G189.6+03.3, contains runaway NS CXOU J061705.3+222127 + PWN G189.23+2.90",CCO,,0,G189.1+03.0,|shell||pwn||shell|||shell|pwn||||pwn|shell||shell|||||pwn,|||||||shell||||||||shell||||pwn||,||||pwn|||||||||||||||||,|shell||pwn|pwn|shell||shell|shell|pwn||||pwn|shell|shell|shell|||pwn||pwn,gamma_GeV|shellX|X|pwnX|pwngamma_GeV|shellX|gamma_GeV|shellgamma_TeV|shellX|pwnX|gamma_TeV|X|gamma_TeV|pwnX|shellX|shellgamma_TeV|shellX|gamma_TeV|X|pwngamma_TeV|gamma_TeV|pwnX,yes
G189.6+03.3,1.0,,,,plerionic composite,1.0,"overlaps SNR G189.1+03.0 = IC443, contains PSR + PWN ?","eje,PSR?,PWN?",,,30000.0,100000.0,1.3,1.7,68.0,,78'x60',"~30""",06:18:30,22:10:00,paper J coord,snrcat,G189.6+03.3,189.6,3.3,06 19 40,+22 00,90?,S,?,?,,G189.6+3.3,green,"overlaps SNR G189.1+03.0 = IC443, contains PSR + PWN ?",,1,0,G189.6+03.3,pwn||shell|shell,|||,|shell||,pwn|shell|shell|shell,pwnX|shellgamma_GeV|shellX|shellX,yes
G263.9-03.3,,,"Vela, contains NGC 2736 = Pencil Nebula",,plerionic composite,,"overlaps SNR G260.4-3.4 and SNR G266.2-1.2, contains PSR B0833-45 = J0835-4510 = Vela + PWN Vela X (unrelated to eclipsing binary Vela X-1)","eje,PSR,PWN",,,9000.0,27000.0,0.25,0.3,255.0,,255',1.5',08:34:00,-45:50:00,Green J coord,snrcat,G263.9-03.3,263.9,-3.3,08 34 00,-45 50,255,C,1750,varies,Vela (XYZ),G263.9-3.3,green,"overlaps SNR G260.4-3.4 and SNR G266.2-1.2, contains PSR B0833-45 = J0835-4510 = Vela + PWN Vela X (unrelated to eclipsing binary Vela X-1)",PSR B0833-45,,0,G263.9-03.3,|||pwn|||shell & pwn|shell & pwn||shell||pwn|shell|pwn|pwn|shell & pwn|shell||pwn||shell & pwn,||||||||||pwn||||||||||,pwn||||||||pwn||||||||||||,pwn|||pwn|||shell & pwn|shell & pwn|pwn|shell|pwn|pwn|shell|pwn|pwn|shell & pwn|shell||pwn||shell & pwn,pwngamma_GeV|X|gamma_TeV|pwnX|gamma_GeV|gamma_GeV|shell & pwnX|shell & pwnX|pwngamma_GeV|shellX|pwngamma_TeV|pwnX|shellX|pwnX|pwnX|shell & pwnX|shellX|gamma_GeV|pwnX|X|shell & pwnX,yes
G291.0-00.1,,,(MSH 11-62),,plerionic composite,,contains PWN G291.02-0.11 + PSR candidate CXOU J111148.6-603926,"eje,PSR?,PWN",,,1300.0,10000.0,3.0,10.0,14.0,,15'x13',,11:11:54,-60:38:00,Green J coord,snrcat,G291.0-00.1,291.0,-0.1,11 11 54,-60 38,15x13,C,16,0.29,(MSH 11-62),G291.0-0.1,green,contains PWN G291.02-0.11 + PSR candidate CXOU J111148.6-603926,CCO,1,0,G291.0-00.1,pwn|shell & pwn||pwn|||shell & pwn,||||||,||||shell & pwn||,pwn|shell & pwn||pwn|shell & pwn||shell & pwn,pwnX|shell & pwnX|gamma_GeV|pwnX|shell & pwngamma_GeV|gamma_TeV|shell & pwnX,yes
G292.0+01.8,,,MSH 11-54,,plerionic composite,,contains PSR J1124-5916 + PWN G292.04+1.75,"eje,PSR,PWN",,,2930.0,3050.0,6.0,6.2,9.8,,12'x8',,11:24:36,-59:16:00,Green J coord,snrcat,G292.0+01.8,292.0,1.8,11 24 36,-59 16,12x8,C,15,0.4,MSH 11-54,G292.0+1.8,green,contains PSR J1124-5916 + PWN G292.04+1.75,PSR J1124-5916,,0,G292.0+01.8,|shell & pwn|shell|shell||shell||||shell|shell,||||||||||,||||shell & pwn||||||,|shell & pwn|shell|shell|shell & pwn|shell||||shell|shell,X|shell & pwnX|shellX|shellX|shell & pwngamma_GeV|shellX|gamma_TeV|X|X|shellX|shellX,yes
