P1,P0,P0_ERR,P1_ERR,PSRJ
7.73955e-20,0.00232309053151224,8e-17,6.9999999999999995e-25,J0218+4232
2.851489093978822e-15,1.2401024601761275,3.0757082234697678e-12,1.0764978782144188e-18,J0227+3356
3.1099750190432445e-15,1.466820306151628,6.4546854316162676e-12,6.454685431616847e-20,J0231+7026
1.6872973642519832e-20,0.002600834785631712,2.705736632860781e-16,4.735039107506367e-24,J0248+4230
5.5094731693814995e-14,0.21709397998393504,4.712979614526519e-06,4.719046568494062e-17,J0248+6021
2.716e-14,23.535378476,1e-09,7e-17,J0250+5854
7.571824139918995e-21,0.0025415543469461026,2.583799399392252e-16,7.105448348328693e-24,J0251+2606
3.1289133095648354e-17,0.44770847319884904,2.0044287697404452e-13,2.0044287697404453e-20,J0255-5304
8.25e-17,1.207165,,1e-19,J0302+2252
1.2952352836766371e-15,1.387584446262276,2.695546833712582e-12,1.9253905955090526e-20,J0304+1932
1.7262232438174822e-20,0.003156088688500316,2.9882687429038934e-15,9.960895809679644e-23,J0307+7443
1.9722776833323893e-20,0.003704335533086201,2.332757296086455e-16,5.4888406966740116e-24,J0312-0921
1.7615205898064885e-20,0.005189852174520136,1.3467282796685694e-15,2.693456559337139e-23,J0318+0253
6.356174615882365e-16,3.0320719563851606,9.193460348697336e-12,6.435422244088147e-20,J0323+3944
3.81e-16,0.336620230291,3e-12,3e-18,J0324+5239
1.5531983469832833e-15,1.3646787672817526,1.4898785102957153e-11,9.31174068934822e-18,J0325+6744
2.1525e-16,0.89332,,6e-20,J0329+1654
2.0482647498485117e-15,0.714519699725801,3.0632304077774933e-12,7.147537618169061e-21,J0332+5434
7.350451226412565e-18,0.26920054092953166,1.2319718310247917e-13,9.420961060777819e-22,J0335+4555
4.81183905297061e-15,1.7619342474221629,1.8626473753434622e-10,9.313236876717312e-17,J0335+6623
1.7665524732273266e-20,0.0027325886324418656,8.213744697565555e-14,8.960448760980669e-24,J0337+1715
7.047036932057687e-21,0.003299339366490734,1.6328460382913218e-17,1.1974204280803025e-24,J0340+4130
1.3422430036880191e-14,1.9344780672938544,1.4968821571363866e-11,1.4968821571378277e-19,J0343+5312
5.7e-17,2.59702715738,9e-11,9e-18,J0343-3000
3.4707843432401247e-15,1.2260055725983963,1.2024717312338572e-11,1.5030896640423232e-18,J0344-0901
2.412809843826565e-19,0.03912265635712975,1.5305822404380646e-15,1.0714075683066453e-22,J0348+0432
1.0995e-15,2.420771,,7e-19,J0349+2340
1.3036824068919645e-14,0.44410449883310915,5.916864176514211e-10,1.9722880588411293e-17,J0357+3205
4.765935990296714e-16,0.19703009803142257,2.7174601671190397e-13,2.3292515718166905e-21,J0357+5236
1.4583211928412912e-16,0.22648433225189185,2.0518061102234136e-13,1.5388545826675602e-19,J0358+4155
4.394962131539897e-15,0.1563841215590166,7.336798042735584e-12,4.891198695330898e-20,J0358+5413
1.0885300284996895e-17,0.09150578075474834,1.6746615823072143e-13,8.373307911536073e-20,J0358+6627
1.6733598310871492e-14,0.07942723229200248,1.2617370459135444e-12,6.308685229791733e-20,J0359+5414
1.5438007601297895e-15,0.5452541866069086,2.6757191521112535e-11,1.1892085120504113e-19,J0401-7608
2.7546031097621417e-16,0.5121944487308313,2.6234315331068017e-12,5.246863066213604e-19,J0402+4825
1.63604306169865e-19,0.06395394948122145,1.63604306169865e-12,1.2270322962739873e-20,J0405+3347
8.307840813007001e-21,0.0026086540402373063,6.124568311481779e-17,5.444060721317137e-25,J0406+3039
5.573163749428881e-15,0.5945761650437441,7.070416320762513e-13,2.828166528305315e-20,J0406+6138
7.9e-20,0.025702,,3e-21,J0407+1607
5.012745098315938e-17,0.4401894160549534,3.875334440136017e-12,3.875334440136018e-20,J0415+6111
7.660117781051843e-17,0.39071508993862825,2.595190785597756e-13,2.4425325040920075e-21,J0415+6954
4.1e-15,9.07838822,5e-08,1e-16,J0418+5732
1.3662473393001564e-20,0.0029101847321825964,8.469175175428691e-11,8.469175212761327e-24,J0418+6635
1.319435806136959e-15,0.7571189450307722,1.1464581938490188e-11,3.439374581549378e-20,J0418-4154
5.924665061841152e-16,1.2411262753424905,6.1615777253820944e-12,6.161577725382121e-20,J0420+4451
2.7590369981747547e-14,3.453004027143985,1.1923236811472578e-08,9.538589449197093e-17,J0420-5022
6e-17,0.900105,,2e-17,J0421+3255
1.1633759104673982e-15,2.1613084945519363,1.4013763225867073e-11,1.4013763225867156e-19,J0421-0345
